Test_ID,Predicted_Reference_Parameter,Validity_Label
TST-0029,25.737073512731097,Valid
TST-0221,32.08220619886797,Valid
TST-0099,17.352683670354526,Valid
TST-0062,17.496149997049436,Valid
TST-0095,25.748344609359258,Valid
TST-0126,17.087883401707096,Valid
TST-0034,50.20093128636667,Valid
TST-0103,15.96339218968485,Valid
TST-0245,22.81577133338095,Valid
TST-0058,50.79992568476496,Valid
TST-0065,26.021864495529417,Valid
TST-0086,19.328152565013998,Valid
TST-0342,20.409010712189353,Valid
TST-0335,17.879929811387058,Valid
TST-0180,18.9950720137453,Invalid
TST-0294,23.813207738333762,Invalid
TST-0072,20.29043401159976,Valid
TST-0315,48.82696708796378,Invalid
TST-0182,45.67741309462747,Valid
TST-0200,21.188492877020135,Valid
TST-0030,16.50771560771769,Valid
TST-0193,16.661451939342392,Valid
TST-0231,21.52834814196157,Valid
TST-0128,25.247974395123528,Valid
TST-0165,27.487350020887916,Invalid
TST-0074,14.156916431935537,Valid
TST-0004,34.0168244947996,Valid
TST-0157,23.875757374543774,Valid
TST-0143,25.757540972162104,Valid
TST-0179,41.953024498063705,Valid
TST-0075,27.335382677042915,Valid
TST-0233,23.93029013298404,Valid
TST-0111,26.25431273504199,Valid
TST-0350,21.811206349413094,Valid
TST-0122,16.97109038252219,Valid
TST-0076,22.348230803033786,Valid
TST-0304,26.461780861266874,Valid
TST-0190,28.81973720581184,Valid
TST-0061,17.03373413461414,Valid
TST-0009,29.641433501738764,Valid
TST-0194,44.86834564569157,Valid
TST-0156,14.972847131781986,Invalid
TST-0088,32.78988343920898,Valid
TST-0256,47.945834039466945,Valid
TST-0329,16.101482989221548,Valid
TST-0219,43.07305805914381,Valid
TST-0306,14.173022383848084,Valid
TST-0324,23.235117209737584,Valid
TST-0113,21.60082706398662,Valid
TST-0135,16.291671453808817,Valid
TST-0339,17.47909239925223,Valid
TST-0260,21.83005065304497,Valid
TST-0195,26.65509635217275,Valid
TST-0286,28.505090538234388,Valid
TST-0015,25.440441899437673,Valid
TST-0263,19.608743647777025,Valid
TST-0147,24.052298844336512,Valid
TST-0002,23.44167550473807,Invalid
TST-0114,46.15697851268844,Valid
TST-0271,30.22355033690735,Invalid
TST-0223,21.536788033123752,Valid
TST-0344,16.590966715109445,Valid
TST-0183,31.627292111758713,Valid
TST-0327,32.881597602560504,Valid
TST-0250,20.01869446147861,Invalid
TST-0185,38.841271352619614,Valid
TST-0242,20.973082668773714,Valid
TST-0158,12.79515240227878,Valid
TST-0078,44.889988461195045,Valid
TST-0120,21.400393827264317,Invalid
TST-0093,29.54892537295538,Valid
TST-0051,16.916188482680326,Valid
TST-0010,15.599958111633182,Valid
TST-0013,51.296784913204334,Valid
TST-0049,14.80966810325663,Valid
TST-0041,17.69510667358697,Valid
TST-0055,31.6147996831531,Valid
TST-0012,20.532303363513993,Valid
TST-0127,49.14974647191009,Valid
TST-0225,26.43863798271481,Valid
TST-0050,22.60085550610774,Valid
TST-0172,38.52868078943539,Invalid
TST-0079,32.992107156095564,Valid
TST-0046,21.576168614963162,Valid
TST-0325,18.38238608609613,Valid
TST-0280,20.825561454512687,Valid
TST-0140,15.01971201429936,Valid
TST-0244,48.82696708796378,Invalid
TST-0203,20.763159402006934,Valid
TST-0238,18.18523495581514,Valid
TST-0092,28.871029280077707,Valid
TST-0307,14.233067589016063,Valid
TST-0176,28.76429660028208,Valid
TST-0115,18.07772303188837,Invalid
TST-0028,20.521721976003413,Invalid
TST-0317,20.762376310430348,Valid
TST-0251,37.87833368571829,Valid
TST-0301,14.906220816470679,Valid
TST-0116,37.8548653238625,Valid
TST-0056,24.54972668503183,Valid
TST-0166,27.131595701394243,Valid
TST-0247,32.8554465015959,Valid
TST-0291,26.755539845298753,Valid
TST-0167,29.507358060934934,Invalid
TST-0313,48.03446478842143,Valid
TST-0105,13.861358071147203,Valid
TST-0104,21.122482470032995,Valid
TST-0045,35.293357635316696,Valid
TST-0289,44.015527054085005,Valid
TST-0048,25.41166583287942,Valid
TST-0110,18.737409924968823,Valid
TST-0037,43.126879023650325,Invalid
TST-0305,18.530842457504697,Valid
TST-0240,33.28091935710511,Valid
TST-0155,34.32344570132316,Valid
TST-0119,53.49390553754873,Valid
TST-0295,23.918985717679604,Valid
TST-0229,18.52529825835301,Valid
TST-0106,20.941806646359865,Valid
TST-0052,15.918040016686493,Valid
TST-0276,21.541954743257513,Invalid
TST-0216,21.46284089318429,Valid
TST-0208,20.425549307100688,Valid
TST-0188,21.83068989823121,Valid
TST-0145,49.20095879273755,Valid
TST-0039,21.401783287901694,Valid
TST-0173,18.980287097112924,Valid
TST-0082,20.745398299453154,Valid
TST-0296,37.09062645293543,Valid
TST-0297,33.041774957962396,Valid
TST-0125,17.25106961309322,Valid
TST-0199,22.53996509001731,Invalid
TST-0330,21.631199362261135,Valid
TST-0133,35.67594304149334,Valid
TST-0175,31.548382496321388,Valid
TST-0270,45.731554297782054,Valid
TST-0255,16.960597917236157,Valid
TST-0025,13.800773882888844,Valid
TST-0073,13.91049535396149,Valid
TST-0077,21.148520722284996,Valid
TST-0293,14.408161848817265,Valid
TST-0212,33.399023922798825,Invalid
TST-0081,13.861982064807979,Valid
TST-0328,19.774687296800845,Valid
TST-0290,49.75259899347885,Invalid
TST-0337,17.243813580752903,Valid
TST-0171,23.725377252656386,Valid
TST-0057,29.49555329643419,Valid
TST-0284,19.58047190516242,Valid
TST-0063,24.74639124847638,Invalid
TST-0022,20.494653922831937,Valid
TST-0044,17.278460384443207,Valid
TST-0035,24.080730679633895,Valid
TST-0258,44.4448346330128,Invalid
TST-0334,26.510442868632147,Valid
TST-0018,27.64519036554507,Valid
TST-0321,21.617696841881916,Valid
TST-0282,14.407861899066225,Valid
TST-0142,46.4730464269895,Invalid
TST-0312,22.342624895629733,Valid
TST-0101,22.01728878352163,Valid
TST-0134,17.507749367129357,Invalid
TST-0287,32.415528824442696,Valid
TST-0153,32.605650240383355,Valid
TST-0299,30.70016381455833,Valid
TST-0204,22.83852060645074,Invalid
TST-0090,19.752381346975174,Valid
TST-0186,33.92391627226358,Valid
TST-0209,48.304049414567004,Valid
TST-0130,20.920949655837983,Valid
TST-0224,23.5110324116051,Valid
TST-0302,29.066716278991215,Valid
TST-0118,15.495934631046962,Valid
TST-0292,20.301818041878317,Valid
TST-0345,22.03020038433635,Invalid
TST-0108,24.506997673972865,Valid
TST-0071,15.538184815501252,Valid
TST-0053,16.087040756437652,Valid
TST-0273,16.952679823864443,Valid
TST-0300,14.958271425596937,Valid
TST-0148,19.51727134670084,Valid
TST-0347,38.939299669002416,Valid
TST-0146,27.487350020887916,Invalid
TST-0241,18.742336304021734,Valid
TST-0096,17.36572684461581,Valid
TST-0220,23.359226300446174,Valid
TST-0174,23.065372707245423,Valid
TST-0246,14.670502250098629,Valid
TST-0136,18.85254545824372,Valid
TST-0109,22.640119790067498,Valid
TST-0040,37.989063561710765,Valid
TST-0043,21.093350770892943,Invalid
TST-0181,37.31499265943473,Valid
TST-0268,17.359788919343103,Valid
TST-0253,15.678267869536432,Valid
TST-0017,25.213880122221187,Valid
TST-0201,23.69953484017484,Valid
TST-0129,16.66561142875339,Valid
TST-0068,47.93175015243388,Valid
TST-0161,15.34931009570681,Valid
TST-0298,21.52902384728753,Invalid
TST-0094,44.07249077503117,Valid
TST-0336,26.64730709223075,Invalid
TST-0149,19.726672944825335,Valid
TST-0191,48.84405911395732,Valid
TST-0032,18.64997416842597,Valid
TST-0054,16.75620975264794,Valid
TST-0349,58.24296758461928,Valid
TST-0100,17.471746165830588,Valid
TST-0162,19.887962390689587,Valid
TST-0326,24.175378884987907,Invalid
TST-0340,19.401775145435575,Valid
TST-0319,28.335166938183754,Valid
TST-0064,18.573488265537257,Valid
TST-0259,27.669516498874575,Valid
TST-0066,43.762535501910484,Valid
TST-0123,48.3193157564441,Valid
TST-0218,20.894240262486036,Valid
TST-0261,22.35741586021231,Valid
TST-0196,20.784509301208026,Valid
TST-0281,23.943598966867146,Invalid
TST-0303,37.408231798588595,Valid
TST-0254,22.659540812402888,Valid
TST-0322,18.51567001592108,Valid
TST-0139,17.08050193202251,Valid
TST-0257,37.86672755496386,Valid
TST-0033,16.61915753034842,Valid
TST-0112,49.781154278940946,Valid
TST-0021,25.851330792748833,Valid
TST-0083,18.202997100448997,Valid
TST-0150,24.968220536331053,Valid
TST-0265,23.50874102818785,Valid
TST-0227,34.00445504166204,Valid
TST-0170,24.527747878598653,Valid
TST-0318,31.040445987051243,Valid
TST-0097,16.3962139594246,Valid
TST-0152,34.659164722782975,Valid
TST-0084,57.84981734127621,Valid
TST-0124,16.812771660563843,Valid
TST-0098,33.339072113718146,Valid
TST-0341,29.728512299181276,Valid
TST-0042,31.18413542989914,Valid
TST-0189,19.403293501610612,Valid
TST-0285,23.298903584587705,Valid
TST-0020,22.10847187908735,Valid
TST-0314,45.763942337300804,Valid
